City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,296.33,91,40,1.54,US,1680452164
1,buraydah,26.326,43.975,293.88,15,0,4.61,SA,1680451973
2,rikitea,-23.1203,-134.9692,300.12,80,34,6.86,PF,1680452164
3,mahebourg,-20.4081,57.7,300.51,89,75,3.6,MU,1680452165
4,bluff,-46.6,168.3333,284.66,73,92,4.76,NZ,1680452165
5,yulara,-25.2406,130.9889,296.43,52,27,5.57,AU,1680452165
6,tiksi,71.6872,128.8694,262.61,78,100,14.79,RU,1680452165
7,santa cruz,-17.8,-63.1667,303.85,66,40,1.54,BO,1680451882
8,hobart,-42.8794,147.3294,285.96,81,38,3.6,AU,1680451930
9,kapit,2.0167,112.9333,295.68,99,100,0.66,MY,1680452166
10,hithadhoo,-0.6,73.0833,301.31,71,9,3.19,MV,1680452166
11,viedma,-40.8135,-62.9967,295.26,37,100,6.22,AR,1680452167
12,port alfred,-33.5906,26.891,296.58,89,43,2.24,ZA,1680452167
13,marsh harbour,26.5412,-77.0636,298.5,75,17,5.74,BS,1680452168
14,pringsewu,-5.3582,104.9744,296.28,95,99,1.9,ID,1680452168
15,tuatapere,-46.1333,167.6833,281.18,83,92,1.83,NZ,1680452168
16,faya,18.3851,42.4509,291.21,67,79,3.12,SA,1680452168
17,atuona,-9.8,-139.0333,300.53,72,88,7.08,PF,1680452006
18,kaitangata,-46.2817,169.8464,280.16,91,29,3.24,NZ,1680452169
19,qaanaaq,77.484,-69.3632,251.44,70,23,1.31,GL,1680452169
20,nsukka,6.8561,7.3927,306.22,33,82,2.31,NG,1680452170
21,arman,59.7,150.1667,267.73,95,100,2.51,RU,1680452170
22,mataura,-46.1927,168.8643,279.39,92,57,1.3,NZ,1680452170
23,hilo,19.7297,-155.09,296.08,90,100,1.54,US,1680452087
24,hermanus,-34.4187,19.2345,294.15,87,12,3.52,ZA,1680452171
25,tezu,27.9167,96.1667,289.72,95,99,1.06,IN,1680452171
26,busselton,-33.65,115.3333,289.63,90,0,5.64,AU,1680452154
27,torbay,47.6666,-52.7314,280.58,76,100,8.23,CA,1680452171
28,port lincoln,-34.7333,135.8667,289.39,65,100,5.31,AU,1680452124
29,borsa,47.6553,24.6633,280.3,93,100,1.14,RO,1680452172
30,iguape,-24.7081,-47.5553,297.98,63,94,3.79,BR,1680452172
31,albany,42.6001,-73.9662,277.69,39,5,4.02,US,1680451949
32,veraval,20.9,70.3667,297.88,73,1,4.34,IN,1680452173
33,punta arenas,-53.15,-70.9167,288.21,36,75,9.26,CL,1680452151
34,vaini,-21.2,-175.2,297.24,83,20,2.57,TO,1680452173
35,richards bay,-28.783,32.0377,297.25,79,0,5.89,ZA,1680451967
36,cape town,-33.9258,18.4232,294.38,85,75,7.72,ZA,1680451484
37,dubti,11.7361,41.0853,305.05,46,100,0.51,ET,1680452174
38,batarci,48.0333,23.1667,289.92,69,99,1.96,RO,1680452174
39,rumphi,-11.0186,33.8575,292.4,97,100,1.7,MW,1680452175
40,coari,-4.085,-63.1414,295.73,98,100,0.61,BR,1680452176
41,arraial do cabo,-22.9661,-42.0278,298.07,69,75,7.2,BR,1680451997
42,rorvik,64.8621,11.2373,278.21,42,0,4.63,NO,1680452176
